2026-07-08 06:38:46 status half-configured readline-common:all 8.2-1.3
2026-07-08 06:38:46 status installed readline-common:all 8.2-1.3
2026-07-08 06:38:46 configure publicsuffix:all 20230209.2326-1 <none>
2026-07-08 06:38:46 status unpacked publicsuffix:all 20230209.2326-1
2026-07-08 06:38:46 status half-configured publicsuffix:all 20230209.2326-1
2026-07-08 06:38:46 status installed publicsuffix:all 20230209.2326-1
2026-07-08 06:38:46 configure pinentry-curses:amd64 1.2.1-1 <none>
2026-07-08 06:38:46 status unpacked pinentry-curses:amd64 1.2.1-1
2026-07-08 06:38:46 status half-configured pinentry-curses:amd64 1.2.1-1
2026-07-08 06:38:46 status installed pinentry-curses:amd64 1.2.1-1
2026-07-08 06:38:46 configure libreadline8:amd64 8.2-1.3 <none>
2026-07-08 06:38:46 status unpacked libreadline8:amd64 8.2-1.3
2026-07-08 06:38:46 status half-configured libreadline8:amd64 8.2-1.3
2026-07-08 06:38:46 status installed libreadline8:amd64 8.2-1.3
2026-07-08 06:38:46 configure libsasl2-modules:amd64 2.1.28+dfsg-10 <none>
2026-07-08 06:38:46 status unpacked libsasl2-modules:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 status half-configured libsasl2-modules:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 status installed libsasl2-modules:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 configure libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2026-07-08 06:38:46 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2026-07-08 06:38:46 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2026-07-08 06:38:46 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2026-07-08 06:38:46 configure ca-certificates:all 20230311+deb12u1 <none>
2026-07-08 06:38:46 status unpacked ca-certificates:all 20230311+deb12u1
2026-07-08 06:38:46 status half-configured ca-certificates:all 20230311+deb12u1
2026-07-08 06:38:48 status installed ca-certificates:all 20230311+deb12u1
2026-07-08 06:38:48 status triggers-pending ca-certificates:all 20230311+deb12u1
2026-07-08 06:38:48 configure gpgconf:amd64 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:48 status unpacked gpgconf:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:48 status half-configured gpgconf:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:48 status installed gpgconf:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:48 configure gpg:amd64 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:48 status unpacked gpg:amd64 2.2.40-1.1+deb12u2
